Date,CITY,CNT
2019-08-26,BOGAHAKUMBURA,1
2019-11-21,KANDY,4
2019-09-26,COLOMBO 12,2
2020-05-27,KOTTE,2
2019-07-20,KOHUWALA,1
2019-10-23,COLOMBO 6,2
2020-05-27,PITA KOTTE,2
2019-10-17,WENNAPPUWA,1
2019-10-24,RANALA,1
2019-11-15,COLOMBO,18
2020-03-10,BADALGAMA,5
2020-05-05,BADALGAMA,7
2019-07-30,BORALESGAMUWA,1
2019-07-19,MOUNT LAVINIA,1
2019-07-30,COLOMBO 7,1
2019-11-11,BORALESGAMUWA,1
2019-11-23,MORATUWA,1
2019-09-23,RATMALANA,2
2019-12-12,AVISSAWELLA,4
2019-11-29,COLOMBO 10,6
2019-09-09,COLOMBO 1,28
2020-03-27,ATHURUGIRIYA,1
2019-12-13,COLOMBO 5,6
2019-07-11,MORATUWA,1
2019-11-28,Ekala,3
2019-06-03,WATTALA,6
2019-09-16,GONAWALA,1
2020-02-06,MORATUWA,1
2020-04-21,RADDOLUGAMA,1
2019-06-28,SANDALANKAWA,1
2019-09-03,NUGEGODA,4
2019-10-05,COLOMBO 5,2
2019-10-09,COLOMBO 5,3
2019-11-07,KAPUGODA,1
2019-11-08,ANURADHAPURA,3
2019-12-26,TALAWATUGODA,3
2019-12-31,HAMBANTOTA,1
2020-03-13,COLOMBO 7,4
2020-03-12,MEDAWACHCHIYA,1
2020-05-20,SEEPPUKULAMA,1
2019-08-19,MAKOLA,1
2019-11-22,BATTARAMULLA,6
2020-04-18,SRI PALABADDALA,1
2019-06-18,MALWANA,1
2020-03-14,GALLE,2
2019-06-10,COLOMBO 9,1
2019-07-31,COLOMBO 15,1
2019-11-30,COLOMBO 2,20
2020-01-17,BANDARAGAMA,2
2019-10-02,COLOMBO 4,1
2019-10-28,DEHIWALA,6
2019-11-01,MALWANA,10
2020-01-29,MINUWANGODA,1
2019-08-13,WESTERN PROVINCE,1
2019-11-15,COLOMBO 8,1
2019-09-28,PERADENIYA,3
2020-02-10,CHILAW,1
2019-07-05,Eagama,1
2019-07-08,DEHIWALA,2
2019-10-24,DEHIWALA,4
2019-11-18,PILIYANDALA,2
2020-05-19,BORALESGAMUWA,1
2019-08-01,RATMALANA,1
2019-07-17,GALLE,2
2019-11-01,HORANA,1
2020-05-05,KELANIYA,2
2020-01-20,KOTTAWA,1
2019-09-12,COLOMBO 7,6
2019-10-05,KEGALLE,1
2020-04-23,COLOMBO W T C,1
2020-03-27,IMBULGODA,1
2019-10-21,COLOMBO 2,23
2019-12-03,WELLAMPITIYA,1
2020-01-17,KOCHCHIKADE,1
2020-02-29,KOTTE,1
2020-04-02,MORATUWA,2
2020-04-04,MAWATHAGAMA,1
2019-07-04,KADAWATHA,3
2019-07-03,COLOMBO 5,3
2019-08-22,MAWATHAGAMA,1
2019-09-23,DUNAGAHA,1
2019-10-14,HORANA,4
2020-03-10,YATIYANTOTA,1
2019-06-10,GONAWALA,1
2019-06-14,MALWANA,8
2020-05-19,GALLE,1
2019-09-12,MALWANA,5
2019-12-07,USWETAKEIYAWA,1
2020-01-27,BORALESGAMUWA,5
2020-03-11,KADAWATHA,1
2019-09-28,KALUTARA,1
2019-10-10,COLOMBO 12,1
2019-12-13,RAGAMA,1
2020-01-07,COLOMBO 10,2
2020-03-13,NUGEGODA,6
2019-10-18,HORANA,2
2020-05-27,ANGODA,1
2019-06-07,BATTARAMULLA,4
2019-07-05,BADALGAMA,3
2019-08-24,MOUNT LAVINIA,2
2019-10-01,COLOMBO 6,3
2019-12-27,Nittabuwa,3
2019-06-07,PUWAKPITIYA,1
2019-07-02,MAKOLA,1
2019-08-17,HANWELLA,1
2020-03-13,BORALESGAMUWA,2
2020-05-28,COLOMBO 14,1
2020-01-25,CHILAW,1
2020-01-03,Bepzbiyagama,2
2019-10-07,DEHIWALA,3
2020-01-18,WATTALA,2
2020-05-12,WADUMUNNEGEDARA,1
2020-01-13,KANDALAMA,1
2020-01-29,KADAWATHA,1
2020-01-24,KURUNEGALA,1
2019-07-22,PITABEDDARA,1
2019-08-26,AMBALANTOTA,1
2019-10-07,"EKALA , JA-ELA",1
2019-11-04,MADAPATHA,1
2019-11-07,NITTAMBUWA,2
2019-06-17,COLOMBO 1,2
2019-08-19,RATMALE,1
2020-04-20,DEHIWALA,1
2019-07-25,DELGODA,1
2020-05-04,BANDARAGAMA,1
2019-09-23,HANWELLA,2
2019-11-04,KANDANA,1
2019-11-20,WAIKKAL,1
2020-05-05,PILIYANDALA,2
2019-09-16,AVISSAWELLA,3
2020-01-23,MAHARAGAMA,1
2019-10-23,ragama,2
2019-10-26,ANURADHAPURA,1
2019-06-07,COLOMBO 2,2
2019-06-15,COLOMBO 2,7
2020-05-20,PUGODA,1
2019-06-06,ANURADHAPURA,1
2019-09-26,KOLONNAWA,1
2019-11-06,PELIYAGODA,1
2020-02-07,COLOMBO 10,5
2020-02-19,PANADURA,2
2019-08-26,KANDY,1
2019-11-13,GAMPAHA,4
2019-07-01,DEHIWALA,5
2019-08-08,BIYAGAMA IPZ,3
2020-03-19,PANADURA,3
2019-10-23,KOCHCHIKADE,2
2020-04-23,SANDALANKAWA,4
2019-12-12,COLOMBO 6,2
2020-02-21,KOTTE,2
2020-03-17,CHILAW,1
2020-04-29,MALWANA,3
2019-09-20,BIYAGAMA IPZ,4
2019-11-29,RATNAPURA,1
2019-12-09,HORANA,4
2019-12-19,NITTAMBUWA,2
2020-04-20,JA-ELA,5
2020-04-20,JAELA,1
2019-08-19,BATTARAMULLA,7
2020-02-13,KELANIYA,3
2020-03-02,COLOMBO 12,1
2019-06-03,COLOMBO 2,1
2019-07-22,COLOMBO 11,2
2019-10-17,COLOMBO 12,1
2019-11-20,COLOMBO 10,2
2019-12-13,PELIYAGODA,3
2020-02-17,AKARAGAMA,1
2019-12-17,MALWANA,1
2019-06-04,COLOMBO 7,5
2019-09-27,HANWELLA,1
2019-08-21,BIYAGAMA,1
2019-09-24,HOMAGAMA,1
2019-10-05,Ragama,1
2020-03-13,AKARAGAMA,1
2019-08-12,Kadana,1
2019-10-14,KALUTARA,4
2020-01-17,SANDALANKAWA,1
2019-06-08,COLOMBO 7,10
2020-01-20,COLOMBO 5,15
2020-03-14,BORALESGAMUWA,1
2019-07-22,KADUWELA,2
2019-09-04,KELANIYA,2
2020-04-29,MATARA,1
2019-09-28,COLOMBO 10,3
2020-05-21,COLOMBO 10,3
2019-06-04,MALWANA,1
2019-11-15,COLOMBO 1,5
2019-11-28,AKARAGAMA,1
2020-02-21,WATTALA,3
2019-09-20,POTHUHERA,1
2019-12-12,KOCHCHIKADE,4
2020-01-09,RATMALANA,1
2020-01-17,MADAMPE,1
2019-12-05,Ekala,1
2019-11-11,KADAWATHA,4
2020-04-23,COLOMBO 6,4
2019-08-20,COLOMBO 3,4
2019-11-18,PUWAKPITIYA,1
2019-11-25,MEEGODA,1
2020-01-17,COLOMBO 4,1
2020-04-08,WENNAPPUWA,1
2020-04-28,WATTALA,8
2020-05-05,COLOMBO 9,1
2019-06-12,BADALGAMA,4
2019-10-02,COLOMBO 6,2
2019-11-20,COLAMBO 5,1
2019-07-10,KADAWATHA,2
2019-10-14,ATHURUGIRIYA,1
2020-02-15,COLOMBO 8,1
2019-11-15,DAMBULLA,1
2019-07-23,HORANA,1
2019-08-12,RATMALANA,1
2020-05-05,KURUNEGALA,1
2019-09-18,KANDANA,1
2019-07-11,BIYAGAMA,3
2019-10-22,COLOMBO 5,2
2019-07-31,COLOMBO 3,59
2019-11-09,AVISSAWELLA,2
2019-12-20,COLOMBO 11,3
2020-01-29,PANNIPITIYA,1
2019-09-02,RATMALANA,3
2019-06-08,MALWANA,13
2019-12-13,BADULLA,1
2019-10-23,SANDALANKAWA,2
2019-11-27,Bepzbiyagama,3
2019-12-07,RAJAGIRIYA,2
2019-09-02,YATIYANTOTA,1
2019-10-18,COLOMBO 10,10
2019-11-25,THIMBIRIGASKATUWA,1
2019-09-12,KOTTE,1
2019-12-12,COLOMBO 4,6
2020-02-15,GAMPAHA,1
2019-07-19,PANNIPITIYA,1
2019-08-03,BATTARAMULLA,1
2019-08-24,COLOMBO 14,1
2019-07-08,JA-ELA,4
2020-03-10,BANDARAGAMA,2
2019-06-04,NEGOMBO,1
2020-02-29,PUTTALAM,1
2020-03-18,COLOMBO 1,9
2019-10-26,COLOMBO 5,6
2020-03-12,BATTARAMULLA,2
2020-06-01,COLOMBO 8,6
2019-09-23,KALAGEDIHENA,1
2019-12-20,KADUWELA,1
2020-01-11,COLOMBO 10,8
2020-01-09,KANDY,1
2020-05-05,MALABE,2
2019-09-07,VEYANGODA,1
2019-09-26,DEHIWALA,3
2019-06-21,WARAKAPOLA,2
2019-09-25,"KATUNAYAKE ",4
2020-03-12,COLOMBO 6,8
2020-03-10,Wathupitiwala,18
2019-09-12,KANANWILA,1
2019-09-27,ragama,3
2019-12-13,NUGEGODA,12
2020-03-02,KELANIYA,2
2020-05-05,COLOMBO,8
2019-07-01,MALWANA,12
2020-01-06,KADUWELA,1
2019-09-16,KEGALLE,1
2019-11-07,23 25 rheinland,1
2019-07-03,DIVULAPITIYA,1
2019-08-26,COLOMBO,27
2019-10-28,BATTARAMULLA,3
2020-01-06,KEGALLE,1
2020-02-13,KURUNEGALA,1
2020-05-04,COLOMBO 9,1
2020-04-30,BIYAGAMA,4
2020-05-12,BORALESGAMUWA,3
2019-07-15,ATHURUGIRIYA,1
2019-11-22,DEHIWALA,2
2020-01-03,POLGAHAWELA,1
2019-10-18,KADAWATHA,2
2020-02-12,GALLE,3
2020-02-24,MATALE,1
2019-11-06,COLOMBO 3,49
2020-04-08,COLOMBO 9,1
2019-08-21,COLOMBO 1,8
2019-10-19,KADIGAWA,1
2019-10-24,KELANIYA,1
2019-09-16,MALABE,5
2019-10-21,COLOMBO 8,10
2019-11-23,NUGEGODA,7
2020-01-02,INGIRIYA,1
2020-05-30,KADAWATHA,1
2019-11-20,WATTALA,2
2020-02-24,COLOMBO 4,3
2019-07-12,NITTAMBUWA,3
2019-09-25,NUGEGODA,5
2020-02-22,Seethawaka,2
2019-09-19,KADAWATHA,4
2019-09-21,KALUTARA,1
2019-10-26,KALUTARA,1
2020-01-02,COLOMBO 12,3
2019-06-24,COLOMBO 3,81
2019-07-15,BORALESGAMUWA,2
2019-08-26,MALABE,1
2019-10-24,BATTARAMULLA,3
2019-11-30,COLOMBO 9,1
2019-10-02,COLOMBO 2,3
2019-10-18,WELIGALLA,1
2019-11-02,MORATUWA,8
2019-12-04,KADAWATHA,2
2019-09-02,WATHUPITIWALA,1
2019-09-19,GAMPAHA,3
2019-10-28,KELANIYA,4
2020-01-11,KADAWATHA,3
2020-02-13,BATTARAMULLA,4
2019-09-12,PUTTALAM,1
2020-01-04,BIYAGAMA,4
2020-02-10,KAPUGODA,3
2019-06-10,COLOMBO 15,1
2020-02-10,DEHIWALA,10
2019-07-22,HABARADUWA,1
2020-02-27,NITTAMBUWA,1
2019-09-23,KATUWELLEGAMA,1
2020-02-24,PILIYANDALA,3
2020-03-12,PILIYANDALA,3
2019-09-24,COLOMBO 10,1
2020-05-11,Ekala,2
2019-06-28,COLOMBO 3,57
2019-11-07,BORALESGAMUWA,4
2019-08-06,COLOMBO 8,2
2020-05-19,AMBANPOLA,1
2020-02-27,ADIPPALA,1
2019-10-17,BIYAGAMA,2
2019-12-26,COLOMBO,25
2020-03-07,KURUNEGALA,1
2019-11-06,RAJAGIRIYA,5
2019-08-23,DUNAGAHA,1
2019-09-23,Ragama,8
2020-01-31,NUGEGODA,2
2020-05-02,COLOMBO 1,4
2019-06-24,RAJAGIRIYA,4
2019-12-02,BADALGAMA,7
2019-06-21,SANDALANKAWA,2
2019-10-04,WATTALA,1
2019-07-11,COLOMBO 9,1
2020-01-06,PADUKKA,1
2019-07-01,DELGODA,1
2019-08-19,KURUNEGALA,1
2020-01-11,WELIGAMA,1
2020-03-14,Nittabuwa,4
2020-06-01,COLOMBO,2
2019-10-10,LUNUWILA,1
2019-07-29,RATMALANA,7
2020-01-11,PELAWATTA,1
2019-12-26,MALABE,2
2019-06-13,RANALA,1
2019-07-04,COLOMBO 7,1
2020-01-30,BADALGAMA,2
2020-05-06,Thullhiriya,1
2019-08-24,GAMPAHA,6
2019-11-27,PANNIPITIYA,1
2020-02-24,AVISSAWELLA,2
2019-07-06,COLOMBO 3,56
2019-08-03,KELANIYA,2
2020-02-07,KADAWATHA,1
2019-12-16,ragama,7
2019-12-18,VEYANGODA,1
2019-07-29,VAVUNIYA,1
2019-11-09,COLOMBO 3,50
2019-12-12,SEEDUWA,3
2020-03-31,COLOMBO,1
2019-07-22,SEEDUWA,2
2020-01-04,MORATUWA,1
2020-01-29,COLOMBO 10,5
2019-07-29,PILIYANDALA,2
2019-09-07,KOCHCHIKADE,2
2019-09-27,Wathupitiwala,1
2019-09-28,ANDIAMBALAMA,1
2019-12-20,COLOMBO 1,12
2019-06-28,RAJAGIRIYA,3
2019-07-19,NITTAMBUWA,1
2019-10-14,SANDALANKAWA,4
2019-12-19,WATTALA,6
2020-01-17,KATUNAYAKE (FTZ),1
2020-01-24,COLOMBO 12,1
2020-03-17,bepzbiyagama,4
2020-04-18,KANDALAMA,1
2019-09-07,COLOMBO 15,1
2019-10-29,KATUNAYAKE,1
2019-11-22,HABARADUWA,1
2020-01-17,SEEDUWA,5
2020-01-22,TALAWATUGODA,1
2019-10-10,BIYAGAMA,2
2019-10-29,COLOMBO 3,15
2019-11-08,PELAWATTA,1
2020-01-20,"GALLE FORT,GALLE",1
2020-03-12,Ratmalana,1
2019-08-13,HOMAGAMA,1
2019-12-12,Kolonnawe,1
2019-09-21,KOHUWALA,1
2020-02-03,RATHMALANA,1
2019-10-17,MORATUWA,8
2020-05-12,COLOMBO 5,12
2019-07-27,WATTALA,7
2020-02-06,BIYAGAMA,4
2019-06-11,Talawatugoda,1
2019-11-22,KELANIYA,1
2020-03-27,NUGEGODA,3
2020-02-28,DEHIWALA SOUTH,1
2019-07-31,RAJAGIRIYA,3
2019-08-16,COLOMBO 10,8
2019-11-09,COLOMBO,20
2019-06-03,JA-ELA,1
2019-08-13,DEDIGAMUWA,1
2019-10-25,MATARA,1
2019-10-02,RATMALANA,1
2019-10-17,COLOMBO 9,1
2020-01-24,DEHIWALA,2
2019-12-14,PANADURA,4
2020-01-06,RAJAGIRIYA,3
2020-02-24,PITA KOTTE,1
2019-06-28,DUNAGAHA,1
2019-07-09,COLOMBO 3,3
2019-10-18,SANDALANKAWA,1
2019-12-10,KATUNAYAKE,8
2019-10-21,PANADURA,4
2019-09-18,SANDALANKAWA,1
2020-02-26,COLOMBO 15,1
2019-09-11,COLOMBO 4,1
2020-01-03,MATARA,1
2019-10-30,AVISSAWELLA,1
2019-11-30,POLONNARUWA,2
2019-07-18,COLOMBO 15,2
2019-09-26,DANKOTUWA,1
2019-10-02,AVISSAWELLA,2
2019-10-02,Dehiwela,1
2020-05-20,NAWALA,2
2019-12-02,COLOMBO 5,6
2020-01-01,NEGOMBO,2
2020-04-24,HOMAGAMA,3
2019-08-15,COLOMBO 8,7
2020-01-24,NAWALAKANDA,1
2020-03-10,MULLERIYAWA NEW TOWN,2
2019-11-14,Bepzbiyagama,2
2019-11-30,MORATUWA,1
2019-12-06,NITTAMBUWA,2
2019-08-13,HORANA,2
2019-11-02,KOHUWALA NUGEGODA,1
2019-11-05,COLOMBO 14,2
2019-12-14,DAMBADENIYA,1
2019-07-29,DANKOTUWA,3
2019-09-04,BANDARAGAMA,1
2020-03-17,ALAWWA,1
2019-10-05,NUGEGODA,4
2020-04-27,PANNIPITIYA,1
2020-01-20,KATUNAYAKE,12
2020-05-14,WATTALA,7
2019-11-08,23 25 rheinland,1
2020-05-15,AKKARAIPATTU,1
2019-08-07,COLOMBO 7,4
2019-08-16,KALUTARA,2
2019-12-31,MALABE,1
2020-05-13,KATANA,1
2019-07-27,MOUNT LAVINIA,1
2019-08-13,NUGEGODA,8
2020-01-17,DOMPE,1
2020-01-11,KULIYAPITIYA,1
2020-05-11,BADALGAMA,7
2019-08-09,COLOMBO 3,46
2019-10-25,KATUNAYAKE,2
2020-04-18,KOTTE,5
2019-06-21,GONAWALA,2
2019-11-08,GAMPAHA,3
2019-06-07,RATMALANA,2
2019-10-02,SEEDUWA,2
2019-10-25,COLOMBO 3,43
2019-11-16,BADALGAMA,4
2020-01-04,COLOMBO 9,1
2020-03-04,PANADURA,1
2019-10-09,NUGEGODA,1
2019-12-05,BIYAGAMA,7
2019-12-12,RATMALANA,4
2020-03-02,KURUNEGALA,1
2019-06-10,AVISSAWELLA,2
2019-10-02,PILIYANDALA,1
2019-11-28,HOMAGAMA,1
2020-02-24,COLOMBO 2,16
2020-05-19,ANURADHAPURA,1
2019-11-01,COLOMBO 13,1
2020-02-22,BADALGAMA,4
2020-01-01,"45/2 BRAYBROOKE ST.,COLOMBO 02",1
2019-08-28,RAJAGIRIYA,2
2019-10-14,BERUWALA,1
2019-11-07,GANEMULLA,1
2019-12-19,COLOMBO 2,5
2020-01-01,COLOMBO 7,7
2020-02-12,KATUNAYAKE,6
2020-05-04,RANALA,1
2019-06-28,COLOMBO 13,1
2019-07-20,MOUNT LAVINIA,1
2019-10-07,POLGAHAWELA,2
2019-11-08,BORALESGAMUWA,2
2019-11-16,KATUNAYAKE (FTZ),1
2019-12-24,COLOMBO 7,2
2020-01-13,MINUWANGODA,1
2019-09-04,DEHIWALA,2
2019-11-22,KURUNEGALA,1
2019-07-18,MAHARAGAMA,1
2019-08-22,Katana,1
2020-01-14,"ELLA ",1
2019-07-17,COLOMBO 5,4
2019-11-22,PILIYANDALA,1
2020-02-01,WATTALA,1
2019-07-22,DANKOTUWA,1
2019-08-05,COLOMBO 14,2
2019-09-26,KURUNEGALA,2
2019-10-01,BADALGAMA,1
2019-11-21,UDUPILA,1
2019-12-26,COLOMBO 1,12
2019-09-23,COLOMBO 8,3
2019-11-02,COLOMBO 9,2
2019-11-21,COLOMBO 8,7
2019-08-31,JA-ELA,3
2019-09-06,WATTALA,1
2020-03-17,KOTTE,2
2020-01-25,COLOMBO 3,32
2019-07-23,KATUNAYAKE,4
2020-02-20,COLOMBO 15,2
2020-03-02,COLOMBO 2,12
2019-11-11,ANURADHAPURA,3
2020-01-01,KALUTARA,1
2019-10-17,MALABE,4
2019-11-21,KATUNERIYA,1
2019-11-21,PANADURA,2
2019-09-11,COLOMBO,17
2019-09-19,COLOMBO 11,1
2019-06-24,COLOMBO 13,1
2020-01-11,COLOMBO 14,3
2020-05-28,COLOMBO 10,8
2019-08-03,MINUWANGODA,1
2019-09-26,BATTARAMULLA,3
2019-11-23,GALLE,1
2019-07-22,RATMALANA,4
2020-02-12,NUGEGODA,4
2019-12-12,KURUNEGALA,1
2019-07-22,PILIYANDALA,1
2019-10-14,BORALESGAMUWA,2
2019-09-06,PAGODA NUGEGODA,1
2019-10-14,COLOMBO 7,18
2020-02-19,MATARA,1
2019-11-28,MATARA,1
2019-07-31,PELIYAGODA,2
2019-10-11,DIVULAPITIYA,1
2019-06-13,MIRIHANA NUGEGODA,1
2019-12-26,KADUWELA,2
2019-08-23,COLOMBO,17
2019-12-12,BATTARAMULLA,6
2019-06-26,HORANA,2
2019-09-16,WARAKAPOLA,1
2020-05-30,BORALESGAMUWA,1
2019-08-15,BIYAGAMA,4
2019-08-26,WELIPATHAYAYA,1
2019-10-18,BORALESGAMUWA,2
2019-12-10,HOMAGAMA,2
2020-05-19,GONAPOLA,1
2019-09-27,PANADURA,1
2019-10-02,BATTARAMULLA,3
2019-11-08,COLOMBO 11,6
2020-03-12,KOCHCHIKADE,2
2019-10-14,MADAPATHA,1
2020-01-21,BATTARAMULLA,1
2020-03-02,POLGASOWITA,2
2019-08-08,COLOMBO,4
2019-12-03,COLOMBO 6,1
2020-01-23,PANADURA,6
2019-08-17,PANADURA,2
2019-10-18,COLOMBO 7,8
2020-01-23,EKALA,2
2020-02-03,KUNDASALE,1
2020-05-19,POLGAHAWELA,1
2020-05-02,COLOMBO,1
2020-05-09,KOTTE,2
2019-07-03,COLOMBO 14,1
2019-07-06,HORANA,2
2019-07-08,ANURADHAPURA,1
2019-10-15,GAMPAHA,1
2019-11-08,COLOMBO 14,5
2019-07-13,KANDANA,1
2019-12-07,DEHIWALA WESTERN,1
2020-05-05,BIYAGAMA,3
2019-11-15,RATMALANA,1
2020-01-22,KOTTE,1
2019-06-20,COLOMBO 8,1
2019-11-07,KANANWILA,1
2019-06-15,RATMALANA,2
2019-08-08,COLOMBO 1,7
2019-10-25,MT LAVINIA,1
2019-11-20,MOUNT LAVINIA,1
2020-02-26,COLOMBO 5,2
2020-01-28,NUGEGODA,1
2020-03-14,COLOMBO 5,1
2019-10-05,COLOMBO 15,1
2019-11-30,RATMALWALA,1
2019-12-12,KELANIYA,5
2019-12-03,MORATUWA,1
2020-01-22,DANKOTUWA,1
2020-02-24,Ratmalana,8
2019-09-05,COLOMBO 2,4
2019-12-07,BADALGAMA,3
2020-04-28,JA-ELA,1
2019-07-18,KANDANA,3
2019-09-30,Bepzbiyagama,1
2019-11-13,HOMAGAMA,1
2020-01-11,BORALESGAMUWA,4
2020-04-08,COLOMBO 8,3
2019-07-11,BADALGAMA,2
2019-10-11,PERADENIYA,1
2020-01-06,COLOMBO 1,8
2020-04-29,Ekala,2
2019-10-11,MARAWILA,1
2020-01-17,KELANIYA,4
2019-07-15,RAJAGIRIYA,6
2019-09-20,PANADURA,1
2020-01-27,KALUTARA,2
2019-09-16,"MALWANA, WALGAMA",1
2020-01-06,KOCHCHIKADE,2
2020-05-26,COLOMBO 9,1
2019-07-22,NAWALA,1
2019-12-23,JA ELA,1
2019-12-21,SANDALANKAWA,4
2019-12-27,KADAWATHA,1
2019-12-30,MONARAGALA,1
2019-08-01,COLOMBO,22
2020-03-13,COLOMBO 5,4
2020-05-14,KOHUWALA,2
2019-09-26,KELANIYA,2
2019-12-14,BANDARAGAMA,1
2019-08-12,COLOMBO 8,2
2019-09-09,COLOMBO 2,12
2020-01-23,Ragama,4
2019-11-28,VEYANGODA,1
2019-12-05,MULLERIYAWA NEW TOWN,1
2019-06-03,SADALANKAWA,1
2020-01-13,WELLAMPITIYA,2
2019-10-30,COLOMBO 4,2
2019-12-12,HABARADUWA,1
2020-03-27,GALLE,1
2019-06-03,COLOMBO 4,1
2020-01-03,MALWANA,3
2020-05-04,BIYAGAMA,7
2019-07-13,EKALA,1
2019-11-01,KOLONNAWA,1
2019-07-03,MAWATHAGAMA,1
2019-06-14,CHILAW,1
2019-06-14,KOTTAWAGAMA,1
2020-03-10,BIYAGAMA,11
2019-08-10,GAMPAHA,2
2019-09-19,KAPUGODA,1
2019-10-15,COLOMBO,4
2019-11-18,RATMALE,1
2019-10-17,MULLERIYAWA NEW TOWN,3
2019-11-08,KADAWATHA,2
2019-09-10,COLOMBO 11,2
2019-12-27,COLOMBO 7,1
2020-01-17,COLOMBO 2,9
2020-01-29,DEHIWALA,3
2020-02-13,KOCHCHIKADE,1
2019-09-23,RADAWANA,1
2020-05-19,COLOMBO 5,9
2019-10-22,COLOMBO 14,1
2020-02-24,MALABE,2
2019-08-17,"MALWATTA, NITTABUWA",1
2020-05-09,MOUNT LAVINIA,1
2019-06-10,COLOMBO 6,4
2019-08-08,PANADURA,1
2019-08-30,NUGEGODA,4
2019-10-17,KANDY,1
2019-09-02,COLOMBO 8,2
2020-01-25,NEGOMBO,1
2020-03-02,BATTARAMULLA,2
2020-03-10,JA-ELA,2
2020-03-18,WATTALA,2
2019-06-07,KOCHCHIKADE,2
2019-07-20,WATTALA,7
2019-08-17,COLOMBO 1,7
2020-01-25,RAJAGIRIYA,7
2019-07-05,COLOMBO 8,1
2019-09-07,AVISSAWELLA,1
2020-03-06,NUGEGODA,8
2019-06-19,RAGAMA,3
2019-11-11,RATNAPURA,1
2019-10-10,COLOMBO 9,1
2019-10-11,KADAWATHA,1
2019-10-16,KOTTE,1
2020-02-27,MOUNT LAVINIA,2
2019-07-25,BIYAGAMA IPZ,1
2019-11-30,HAMBANTOTA,1
2019-12-14,BADALGAMA,1
2020-01-13,HOKANDARA,1
2019-09-10,BORALESGAMUWA,2
2019-12-12,COLOMBO 2,23
2019-12-20,MELLAWAGEDARA,1
2020-01-23,BADALGAMA,4
2020-03-10,RANALA,2
2019-07-25,NEGOMBO,8
2019-10-19,COLOMBO,19
2020-02-25,COLOMBO 15,4
2020-03-12,RATMALWALA,1
2019-09-16,RAJAGIRIYA,6
2020-04-27,KOHUWALA,3
2019-09-30,PUTTALAM,1
2020-01-21,KELANIYA,1
2020-03-07,SEEDUWA,1
2019-07-15,Aksheen,1
2020-01-30,COLOMBO 5,4
2019-09-10,COLOMBO 14,1
2019-10-19,COLOMBO 1,9
2019-06-10,KOCHCHIKADE,2
2019-08-22,PERADENIYA,1
2020-01-20,GALLE,3
2020-02-14,COLOMBO 3,56
2019-09-12,GANEMULLA,1
2020-02-06,COLOMBO 6,2
2020-03-17,COLOMBO 2 WESTERN PROVINCE,1
2019-07-29,MALABE,1
2020-01-04,BADALGAMA,2
2020-01-13,KURUNEGALA,1
2020-03-03,WELIPENNA,1
2019-10-30,COLOMBO,9
2020-02-24,COLOMBO 9,1
2020-03-17,NEGOMBO,2
2020-01-06,PELIYAGODA,1
2020-03-13,KEGALLE,1
2019-08-26,PANADURA,5
2019-10-21,RAJAGIRIYA,1
2019-07-05,COLOMBO 12,1
2019-07-19,KOTTE,1
2019-10-17,BADALGAMA,5
2019-08-15,KANDY,1
2019-10-31,MALWANA,10
2020-02-15,MOUNT LAVINIA,3
2020-03-06,KATANA,1
2020-03-13,JA ELA,1
2020-04-20,HANWELLA,2
2019-08-10,COLOMBO 5,6
2019-10-30,KATUNERIYA,1
2020-02-13,Miriswatta,1
2019-08-07,MALWANA,5
2019-07-08,NITTAMBUWA,4
2019-07-22,"EKALA , JA ELA",1
2019-12-23,PADUKKA,1
2019-12-26,AVISSAWELLA,2
2019-11-04,GALLE,2
2019-06-24,COLOMBO 15,2
2019-12-05,MAHARAGAMA,1
2019-08-01,Ragama,1
2019-11-30,COLOMBO 4,4
2019-08-23,MATALE,1
2019-09-30,PANNIPITIYA,1
2020-03-03,MALWANA,3
2019-08-10,ANURADHAPURA,2
2019-09-26,RATMALWALA,1
2019-10-23,MORATUWA,1
2020-02-20,"KALUBOWILA, WESTERN",1
2019-11-28,KANDANA,1
2019-08-07,BORALESGAMUWA,1
2019-11-05,COLOMBO 1,2
2019-11-09,THIMBIRIGASKATUWA NEGOM,1
2020-04-22,COLOMBO 12,1
2019-10-04,COLOMBO 14,3
2019-10-16,MALWANA,6
2019-10-28,NITTAMBUWA,5
2019-11-28,BADALGAMA,6
2020-02-26,NUGEGODA,5
2020-04-08,COLOMBO 4,2
2019-07-18,COLOMBO 3,33
2019-08-31,HANWELLA,1
2020-02-17,SANDALANKAWA,1
2019-10-30,MALABE,1
2019-07-19,MALWANA,2
2019-08-28,GALLE,1
2019-09-19,DIVULAPITIYA,1
2019-08-05,WELIGAMA,1
2019-08-26,COLOMBO 8,7
2019-07-09,ATHURUGIRIYA,1
2019-08-15,COLOMBO 9,3
2019-06-03,KADUWELA,1
2019-11-18,HABARADUWA,1
2020-04-08,PILIYANDALA,1
2019-09-18,GALLE,1
2019-11-23,COLOMBO 6,2
2019-11-28,HORANA,2
2019-08-26,COLOMBO 2,12
2020-02-12,IHALA KATUGAMPALA,1
2019-11-26,COLOMBO 2,3
2019-12-20,JA-ELA,1
2020-03-02,BADALGAMA,11
2020-03-27,PELIYAGODA,1
2019-06-24,NEGOMBO,3
2019-09-17,COLOMBO 12,1
2019-10-12,COLOMBO 5,6
2020-01-29,KOLONNAWA,1
2020-02-22,POLGASOWITA,1
